,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
seweljo01,1903,7132,114,0,80,0,275,842,2226,74,1055,49,436,68,4
sewellu01,1630,5383,307,0,27,0,145,486,1393,65,696,20,272,56,3
sewelri01,423,750,154,0,1,0,19,37,152,12,59,6,22,3,0
sexsori01,1367,4928,1313,36,52,31,0,588,1286,14,943,306,260,17,4
seyboso01,997,3685,0,0,40,0,96,293,1085,66,556,51,218,54,2
seymocy01,1528,5682,32,0,30,0,138,354,1723,222,799,52,229,96,4
shafeti01,283,776,80,0,8,0,20,105,212,60,83,5,24,14,1
shaffor01,871,3552,225,0,5,0,0,227,1000,34,317,11,164,53,3
shaffta01,135,512,0,0,2,0,0,46,95,19,21,0,8,6,0
shamsar01,665,1686,254,15,15,29,9,188,426,5,233,68,60,15,1
shanewa01,207,629,54,0,3,0,9,43,175,13,74,4,45,8,0
shankho01,1665,5699,443,0,37,0,263,415,1440,185,620,25,211,96,3
shannda01,242,964,107,0,1,0,0,77,225,54,111,8,36,21,1
shannmi01,882,2780,525,20,10,24,22,224,710,19,367,68,116,23,2
shannre01,310,1070,178,0,12,0,29,109,277,21,91,0,38,22,1
shannsp01,694,2613,0,0,22,0,94,286,677,145,183,3,49,15,2
shantbo01,578,548,96,1,5,0,44,47,107,3,46,1,20,2,0
sharodi01,242,467,95,2,0,0,7,50,102,6,46,13,20,0,0
sharpbi01,398,1104,109,10,7,6,25,75,281,3,95,9,52,8,1
sharpbu01,165,625,33,0,1,0,23,21,139,4,41,0,17,6,0
sharpmi01,557,1203,154,9,5,9,27,139,337,22,123,10,61,5,1
shautjo01,367,660,91,0,2,0,22,40,170,3,64,1,28,4,0
shawal01,181,459,0,0,7,0,10,35,92,6,32,1,9,3,0
shawal02,474,1547,104,0,1,0,35,173,434,64,170,14,74,28,1
shawbo01,433,519,142,2,1,0,40,37,69,2,18,0,2,1,0
shawdu01,236,823,156,0,0,0,0,38,140,1,31,1,21,1,0
shawji01,287,528,189,0,2,0,22,16,86,0,22,4,15,5,0
shawkbo01,488,1049,181,0,3,0,48,34,225,0,94,3,26,6,0
shayda01,231,775,0,0,10,0,13,88,186,52,62,2,26,5,0
sheafda01,389,946,122,9,5,2,12,60,219,6,110,13,38,5,0
shealry01,169,545,150,1,6,1,0,46,146,2,94,19,26,1,0
sheame01,439,1197,145,0,1,0,13,189,263,8,115,5,39,7,1
sheanda01,630,2167,133,0,13,0,103,155,495,66,166,6,59,23,1
sheckji01,2122,7605,233,0,92,0,286,1135,2084,465,813,56,354,136,4
sheehto01,317,1011,0,0,7,0,57,94,238,32,88,1,26,8,0
sheelea01,1234,4471,205,0,40,0,189,563,1340,33,747,48,244,27,3
sheetan01,356,960,275,12,2,3,23,76,207,16,113,19,38,3,1
sheetbe01,250,449,212,0,0,0,45,19,34,0,12,0,3,0,0
sheetla01,748,2284,351,21,19,22,2,175,607,6,339,94,98,5,1
sheffga01,2576,9217,1171,111,135,130,9,1475,2689,253,1676,509,467,27,4
shelbjo01,1036,3090,671,18,4,15,32,182,739,98,313,70,128,24,2
sheltch01,299,930,252,6,9,1,3,96,254,2,124,37,46,7,1
shepaja01,278,751,97,7,0,8,18,84,195,2,75,12,29,6,0
sherdbi01,549,960,96,0,1,0,44,63,214,2,86,9,35,5,0
sheripa01,876,2419,501,14,6,19,25,236,611,86,257,51,91,21,2
sherrno01,194,497,102,2,8,6,2,37,107,1,69,18,9,1,0
shindbi01,1422,5807,240,0,74,0,57,388,1561,318,758,31,226,97,4
