playerID,Sum - W,Sum - L,Sum - GS,Sum - SHO,Sum - SV,Sum - IPouts,Sum - H,Sum - HR,Sum - BB,Sum - R,Sum - ER,ERA<3.5
hendrcl01,144,116,257,27,17,7114,2123,41,697,910,698,1
hendrky01,15,9,45,1,0,781,238,21,58,106,101,1
hendrli01,8,15,34,0,0,760,299,36,64,160,145,0
hendrma01,58,74,166,2,1,3507,1361,145,345,723,653,0
henketo01,41,42,0,0,311,2369,607,64,255,252,234,1
henlewe01,32,43,81,7,0,2165,640,12,231,339,236,1
hennebr01,17,23,44,0,20,1082,390,44,147,201,188,0
hennemi01,57,42,0,0,193,2198,686,47,271,301,261,1
hennipe01,14,25,34,1,4,1035,334,10,134,176,147,0
henniph01,17,14,2,0,25,842,267,34,133,135,133,0
henrybi01,46,50,44,2,90,2739,842,89,296,386,331,1
henrybu01,33,33,91,2,7,1863,677,61,149,289,264,0
henrydo01,34,42,0,0,82,1997,611,83,341,346,310,0
henrydu01,27,43,62,3,6,1939,809,42,190,401,315,0
henrydw01,14,15,1,0,14,1004,298,26,216,184,173,0
henshro01,33,40,69,5,7,2227,782,40,327,401,343,0
henslcl01,28,34,49,1,10,1551,471,39,239,252,230,0
hentgpa01,131,112,306,10,1,6226,2111,269,775,1076,996,0
herbera01,104,107,236,13,15,5644,2000,167,571,927,839,0
herbero01,42,37,79,3,16,2682,945,81,285,442,380,0
heredfe01,28,19,2,0,6,1375,448,45,232,253,225,0
heredgi01,57,51,128,0,4,2862,1079,115,221,523,473,0
hergema01,43,35,4,0,34,2073,735,66,257,335,300,0
hermadu01,73,78,180,2,56,3849,1285,160,460,675,600,0
hernaca03,9,8,33,0,0,512,173,23,91,89,86,0
hernada01,25,35,27,0,19,1243,370,60,175,201,191,0
hernafe02,143,101,334,11,0,6787,2019,184,630,870,783,1
hernaje02,10,14,0,0,20,579,191,20,67,88,78,0
hernali01,178,177,474,9,1,9567,3525,362,1066,1686,1572,0
hernaor01,90,65,211,2,2,3944,1181,177,479,641,604,0
hernara01,23,15,0,0,46,1291,399,23,135,158,145,1
hernaro01,67,71,3,0,326,3214,1002,96,462,475,411,1
hernaru03,25,36,82,1,0,1364,515,61,188,294,278,0
hernawi01,70,63,11,0,147,3134,952,97,349,431,392,1
hernaxa01,40,35,7,0,35,2013,621,67,266,324,291,0
herreke01,17,17,0,0,5,853,235,19,94,89,82,1
herriar01,34,38,56,3,13,2093,754,41,284,401,335,0
hershor01,204,150,466,25,5,9391,2939,235,1007,1366,1211,1
heskejo01,60,47,114,2,21,2885,947,85,378,469,404,0
hessot01,70,90,165,18,5,4254,1355,25,448,663,469,1
hestoch01,12,11,32,1,0,549,175,16,67,85,81,0
hetkijo01,18,26,23,0,13,1576,557,42,185,289,256,0
heussed01,56,67,104,10,18,3261,1167,66,300,528,446,0
hevinjo02,76,48,40,3,63,3116,1136,64,380,559,450,0
hibbagr01,57,50,158,1,1,2970,1051,86,288,511,446,0
hickebr01,21,21,36,0,2,1213,451,52,143,221,212,0
hickeke01,9,14,0,0,17,698,213,21,101,114,101,0
hickmch01,10,8,22,3,4,555,175,4,94,105,88,0
higbeki01,118,101,238,11,24,5857,1763,117,979,909,800,0
higgide01,22,23,2,0,46,1231,346,32,223,178,156,1
higgiir01,10,14,24,1,1,731,232,1,66,108,76,1
higuete01,94,64,205,12,0,4140,1262,131,443,608,554,0
hildeor01,83,78,182,9,13,4292,1490,99,623,781,692,0
hilgeto01,19,14,6,0,14,941,302,25,127,124,106,1
hillbi01,36,69,115,3,3,2775,994,24,406,607,428,0
hillca01,49,33,85,5,8,2361,769,38,267,369,301,1
hillefr01,30,32,60,5,4,1601,553,56,158,288,262,0
hillejo01,87,76,43,6,125,3726,1040,110,535,438,391,1
hillesh01,24,38,62,1,10,1546,521,54,238,284,264,0
hillke01,117,109,315,8,0,5919,1938,162,852,977,891,0
hillmda01,21,37,64,1,3,1872,639,71,185,305,268,0
hillmer01,4,14,36,1,0,696,285,30,45,144,125,0
hillri01,26,23,74,2,0,1500,443,60,232,267,252,0
hillsh01,10,18,44,0,0,726,273,19,76,140,126,0
hintori01,9,17,13,0,3,749,283,24,91,152,135,0
hitchst01,74,76,200,2,3,3857,1374,181,471,738,685,0
hobaued01,9,10,21,0,1,635,228,24,95,117,102,0
hobbigl01,62,81,170,11,6,3789,1283,125,495,677,590,0
hochelu01,44,62,128,2,3,2676,915,110,290,533,498,0
hodgesh01,14,15,20,0,3,904,360,10,131,205,173,0
hoeftbi01,97,101,200,17,33,5542,1820,173,685,883,809,0
hoernjo01,39,34,0,0,99,1688,519,50,181,213,187,1
hoersle01,10,33,41,0,1,1044,381,24,175,230,200,0
hoffebi01,92,46,142,10,3,3763,1333,22,453,712,523,0
hoffmgu01,17,17,31,0,3,1017,356,33,128,169,160,0
hoffmtr01,61,75,0,0,601,3268,846,100,307,378,347,1
hoggbi01,37,50,89,6,1,2190,677,13,319,354,248,1
hoggbr01,20,29,50,4,3,1344,446,13,152,223,184,0
hogsech01,63,87,114,2,33,3666,1511,85,501,829,682,0
hoguebo01,18,16,3,0,17,980,336,25,142,154,144,0
holcoke01,18,32,48,2,2,1125,377,25,170,196,166,0
holdsfr01,7,10,15,0,2,546,182,18,86,100,89,0
hollaal01,34,30,11,0,78,1938,548,55,232,241,214,1
hollade01,55,41,138,8,0,2633,881,117,276,455,417,0
hollagr01,18,12,0,0,145,959,234,16,125,94,86,1
holleed01,25,40,76,5,0,1643,602,45,170,300,268,0
hollial01,70,104,185,7,15,4561,1642,47,587,788,674,0
holloke01,64,52,111,4,18,3480,1370,50,397,684,567,0
holmabr01,37,45,99,6,0,2030,682,47,254,303,279,0
holmeda01,35,33,6,0,59,2040,709,63,256,348,321,0
holtch01,28,51,112,1,1,2210,853,69,253,426,390,0
holtobr01,20,19,16,0,3,1112,401,31,125,172,149,0
holtzke01,174,150,410,31,3,8602,2787,249,910,1273,1111,1
holtzmi01,16,20,0,0,3,720,245,25,131,146,127,0
honeyri01,109,143,268,11,38,6480,2183,185,657,1034,893,0
hooddo01,34,35,72,1,6,2545,840,57,364,412,357,0
hookja01,29,62,112,2,1,2258,808,112,275,482,437,0
hoopebo01,40,41,57,0,25,1862,640,50,280,377,331,0
hootobu01,151,136,377,29,7,7956,2497,193,799,1112,996,1
hoovejj01,15,17,0,0,5,671,164,28,101,88,83,1
horlejo01,116,117,290,18,4,6006,1829,145,554,783,691,1
horstos01,9,7,15,1,1,530,154,5,80,91,72,0
hortori01,32,27,53,1,15,2020,696,55,222,301,281,0
houckby01,26,24,50,1,3,1594,462,8,274,249,195,1
houghch01,216,216,440,13,61,11404,3283,383,1665,1807,1582,0
houseto01,29,23,21,0,33,1608,516,49,182,258,226,0
houttar01,87,91,181,14,20,4665,1646,136,516,810,715,0
howarbr01,26,31,75,4,1,1586,449,45,239,219,187,1
howeldi01,19,15,2,0,19,679,236,13,103,104,95,0
howelha01,131,146,282,20,6,7703,2435,27,677,1158,781,1
howelja01,58,53,21,0,155,2534,782,57,291,335,313,1
howeljp01,34,28,33,0,22,1674,492,53,248,254,232,0
howelke01,38,48,54,1,31,1840,534,46,275,296,269,0
howest01,47,41,0,0,91,1818,586,32,139,239,204,1
howrybo01,45,52,0,0,66,2363,731,93,253,366,336,0
hoytla01,98,68,172,8,10,3934,1313,140,279,637,582,0
hoytwa01,237,182,423,26,52,11287,4037,154,1003,1780,1500,0
hraboal01,64,35,1,0,97,2166,619,50,315,284,249,1
hubbebi01,40,63,108,5,10,2793,1207,67,225,611,484,0
hubbeca01,253,154,431,36,33,10771,3461,227,725,1380,1188,1
hudekjo01,10,15,0,0,29,604,176,29,123,107,99,0
hudliwi01,158,156,328,11,31,7840,3011,118,846,1491,1281,0
hudsoch02,50,60,140,3,2,3023,997,110,361,518,463,0
hudsoda01,32,21,59,0,4,1355,431,44,123,208,189,0
hudsolu01,17,18,41,0,0,729,235,26,123,150,138,0
hudsona01,48,26,78,5,1,2083,669,15,156,381,238,1
hudsosi01,104,152,279,11,13,6543,2384,136,835,1212,1036,0
hudsoti01,222,133,479,13,0,9380,2957,248,917,1319,1213,1
huffda01,25,28,55,0,0,1164,450,55,130,246,219,0
huffmph01,6,18,32,1,0,533,227,26,73,138,119,0
hughedi01,20,9,34,4,8,922,221,29,76,101,95,1
hugheja01,83,41,129,8,0,3291,1011,16,376,512,366,1
hugheja02,14,12,0,0,2,750,232,17,80,94,77,1
hugheji01,29,80,113,0,1,3023,1271,21,317,748,545,0
hugheji02,15,13,1,0,39,888,278,30,152,143,126,0
hugheji03,25,30,62,2,0,1324,443,36,205,241,211,0
hughemi01,39,28,70,2,0,1871,594,12,235,386,223,1
hugheph01,83,69,189,1,3,3437,1192,157,277,583,551,0
hugheto01,131,175,313,25,16,7932,2610,51,853,1291,909,1
hugheto02,56,39,87,9,16,2589,703,14,235,309,245,1
hugheto04,31,56,87,5,3,2064,698,33,308,355,300,0
hughste01,96,54,156,19,17,4127,1270,77,372,504,450,1
huismma01,13,11,1,0,11,889,305,37,83,163,145,0
humbeph01,16,23,51,1,0,1113,398,53,129,223,219,0
humeto01,57,71,55,0,92,3258,1106,88,384,521,465,0
humphbe01,50,43,91,10,9,2394,807,31,151,364,247,1
humphbo01,27,21,4,0,20,1698,482,55,219,240,211,1
humphjo02,52,63,111,9,12,3006,1024,50,373,498,421,0
hunteca01,224,166,476,42,1,10348,2958,374,954,1380,1248,1
hunteto02,46,33,75,0,16,2030,710,104,151,344,324,0
huntzwa01,7,8,8,0,3,502,179,10,49,83,67,0
hurdto01,13,10,0,0,11,559,177,14,97,95,82,0
hurstbr01,145,113,359,23,0,7252,2463,258,740,1143,1052,0
hustibe01,24,21,54,1,1,1312,499,14,199,297,202,0
hutchbi01,183,163,346,21,4,9234,3123,104,1132,1913,1228,0
hutchdr01,29,21,71,2,0,1181,411,53,124,226,215,0
hutchfr01,95,71,169,13,7,4392,1487,126,388,681,606,0
hutchir01,34,33,32,2,13,1832,628,33,249,289,255,0
hutchjo02,12,18,34,3,6,1413,474,36,180,239,207,0
huttoma01,9,7,18,0,0,569,203,23,96,110,100,0
hydedi01,17,14,2,0,23,895,273,13,137,133,118,0
iburgha01,11,18,30,1,0,708,286,1,62,141,102,0
inksbe01,27,46,77,2,1,1811,780,12,266,532,370,0
innisje01,10,20,1,0,5,1080,337,22,121,141,122,1
irabuhi01,34,35,80,2,16,1542,547,91,175,307,294,0
ishiika01,39,34,102,2,0,1692,508,70,354,310,278,0
isrinja01,51,55,52,1,300,3023,901,85,437,450,408,0
