,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
179,1.8163402080535889,0.32209500257406165,0.0034736156463623046,0.0003199239619208322,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 10}",0.9731931089006968,0.9329184210042472,0.9628601371600876,0.9340300818403008,0.9579619726678549,0.9521952280813295,0.016063509087722083,40,0.9849961154618448,0.957889070500333,0.9722924077451006,0.9630596632372949,0.971518703517172,0.9699511920923489,0.009244198713293263
180,1.3913937568664552,0.24324181629255998,0.0031132221221923826,0.0003875634155097759,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 15}",0.82052437073673,0.7935887771424369,0.8685855595800621,0.8436371009363711,0.7958630421865714,0.8244540018843532,0.02864259423266379,201,0.826163459521268,0.8382049514605632,0.8450737831713047,0.8704309120378212,0.8414978681715948,0.8442741948725103,0.014542046862942337
181,2.3257585525512696,0.47823626714697937,0.0031758785247802735,0.00021094338135804042,0.01,"(100, 25, 100)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 20}",0.9802349739837101,0.952297339535568,0.9668958796815533,0.9447024994470251,0.9592245989304812,0.960678130485761,0.012239750927652117,28,0.9839235449119467,0.9776835012022475,0.987770044562684,0.960006404873233,0.9944600057952618,0.9807687002690747,0.011721903233143148
182,1.7870100498199464,0.31120202846084766,0.0032312870025634766,0.0002685120380060427,0.01,"(100, 25, 100)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 25}",0.9364393535457538,0.8911268822739893,0.9288826784827815,0.9239290717392908,0.9359031491384431,0.9232464907447476,0.016727914449425826,96,0.94029972035936,0.9264300748551654,0.9146421729437882,0.9380414911374295,0.9586466684144438,0.9356120255420374,0.014714037477506279
183,2.5143874645233155,0.822793958195587,0.0033031463623046874,0.00024075510478723192,0.01,"(100, 25, 100)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 30}",0.9595966096085606,0.8387725459192117,0.9730644064057071,0.976701319767013,0.9479723707664883,0.9392008349291593,0.05127112835575892,66,0.9864773117612747,0.8617507855527455,0.9892829396156037,0.9911431892352053,0.9742559297945442,0.9605820311918747,0.049765214153347365
184,2.4285787105560304,0.33151482426725154,0.0030519962310791016,0.00031073421871527756,0.01,"(100, 25, 100)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 35}",0.9473882586552428,0.9108919082902793,0.9400889885822501,0.925191698001917,0.9114304812834222,0.9270106187212721,0.014781516172911029,88,0.9696452736582205,0.9355091741956009,0.9519942550331857,0.957042423069524,0.9476977633049549,0.9523777778522972,0.011193969283976079
185,2.3566368579864503,0.6029597328283806,0.003525972366333008,0.00030423141184242217,0.01,"(100, 25, 100)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 40}",0.9801062714887203,0.9751971906083953,0.9535567853793968,0.908344392833444,0.8991384432560902,0.9433148051537019,0.03360423218661152,52,0.9878951105537253,0.982850974362048,0.9889676811036237,0.95373227860277,0.9049002157125181,0.9636692520669371,0.032085461745181384
186,2.2914961338043214,0.22783971013170562,0.0036545753479003905,0.0002983754022643957,0.01,"(100, 25, 100)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 45}",0.9597253121035504,0.9485190020040818,0.9497784478479105,0.9594392833443929,0.9653149138443254,0.9565477416842904,0.006411437829788271,31,0.9721356430005694,0.980614195047617,0.9684159383637909,0.9782217030742241,0.9874757955836425,0.9773726550139689,0.006647570710402672
187,1.9252252578735352,0.20436159037093246,0.003397226333618164,0.0003719070926849236,0.01,"(100, 25, 100)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 50}",0.9462575153064039,0.901202449024619,0.9619867988012282,0.9376797168767971,0.9467097445038619,0.9387616965444355,0.02036036348381565,69,0.9493471209463057,0.9242883918012038,0.9803940327961067,0.9563771687004444,0.966976782157953,0.9554766992804028,0.018784134341888994
188,1.7020798206329346,0.5830615723527554,0.0036655426025390624,0.00029943902744935727,0.01,"(100, 25, 100)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 55}",0.766165952674254,0.9082443141076322,0.9520399345455882,0.9351544643515446,0.9036319073083777,0.893023588937496,0.06590244400279935,123,0.7710986903227739,0.9264617736086552,0.9637821569445629,0.9574196885342403,0.9247236902018683,0.90869719992242,0.07058896755107717
