,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
233,0.12145309448242188,0.015409792874886,0.0008776664733886718,0.0002090708493500039,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 7}",0.5206383643751493,0.5279376344481421,0.5376270937138024,0.5437956204379563,0.5195335710041591,0.5299090277024564,0.009482917170087575,73,0.522725124547284,0.53350558243866,0.5437805892971176,0.5438445827559156,0.5290987678169801,0.5345909293711915,0.008273077917430339
234,0.15451312065124512,0.010968835396457575,0.0010122299194335938,3.962445057611117e-05,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 8}",0.6408189155895494,0.5753828899225947,0.5376270937138024,0.5898400058984001,0.5857100415923945,0.5858744272432159,0.03310182298444495,5,0.6030370863889011,0.5871208540912141,0.517335760113055,0.623027132010658,0.6063384524811538,0.5873718570169965,0.03682810791136581
235,0.11033139228820801,0.011763142723247752,0.0010326862335205077,6.78634268303307e-05,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 9}",0.49622166246851385,0.5,0.535108202026145,0.5533436555334366,0.5268865121806297,0.5222969405772645,0.021572646236702634,81,0.5026154353333903,0.5,0.542551254002688,0.5422381806473762,0.5482593517585859,0.527132844348408,0.02121095209352484
236,0.13987669944763184,0.027959450962669153,0.0012035369873046875,0.0002379636716197308,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.5109489051094891,0.5023901891926675,0.4974811083123425,0.5036496350364964,0.4999999999999999,0.5028958543946739,0.004548950132446785,144,0.5087938105590277,0.5072809155061081,0.5121665579303366,0.5011980338421522,0.5005973488977503,0.5060073333470749,0.004465866269954324
237,0.20236577987670898,0.017328288993778192,0.0009877681732177734,1.4785027953004462e-05,0.001,"(25,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
238,0.19972777366638184,0.03130081237829814,0.0012096405029296876,0.00025354241962123397,0.001,"(25,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
239,0.1972095012664795,0.02369989287192154,0.001388692855834961,0.00038136950606863876,0.001,"(25,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
240,0.18409786224365235,0.024334982999973217,0.0011016845703125,0.00020289695078952994,0.001,"(25,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
241,0.189259672164917,0.021696590548615644,0.0011868953704833984,0.0002212595013610188,0.001,"(25,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
242,0.1853181838989258,0.025394808640084213,0.001270627975463867,0.0002526107391710032,0.001,"(25,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.5461858096306238,0.5036496350364963,0.5922429167662578,0.5255474452554745,0.5488339275103981,0.5432944442302676,0.029413675190577526,38,0.555947147227454,0.5045703839122486,0.5677667478923211,0.522474654096527,0.5825175122689368,0.5466552890794975,0.028892814761640767
