,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
287,2.04337739944458,0.5074222569955533,0.007031106948852539,0.0005457301928447956,0.0001,"(50, 50)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.9889223923955212,0.9802349739837101,0.9253617459412751,0.8145782643957828,0.9863339275103978,0.9390975141873393,0.06646386586192779,35,0.9877383458091942,0.9890927470946652,0.9203168261594251,0.8419660887305336,0.9867473633859046,0.9451722742359445,0.05785961708964485
288,2.1360984325408934,0.34898359292879755,0.006857109069824219,0.0002835646542914156,0.0001,"(50, 50)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.898426152346982,0.9473882586552429,0.9691573663792311,0.9680011796800116,0.9593360071301247,0.9484463118426585,0.026213592303177255,31,0.8988492776142251,0.9689513591272814,0.9766426294058383,0.9768681552237156,0.9714859326921751,0.9585594708126471,0.030008667017480856
289,2.082640790939331,0.6697466722160025,0.006698322296142578,0.0002510358752601527,0.0001,"(50, 50)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.8949052198054754,0.9426078802699076,0.8727500045965177,0.9498912482489125,0.8672014260249553,0.9054831990463972,0.0346315541777991,79,0.8986291153627144,0.9691098528947301,0.8736020849711021,0.9764868579143384,0.8975354039895316,0.9230726630264833,0.04164006671735204
290,1.6913660526275636,0.49287585278339663,0.006962728500366211,0.0013303492775900113,0.0001,"(50, 50)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.8706172203938296,0.9264924892901139,0.88079391053338,0.9254681855046818,0.8461824123588828,0.8899303035039264,0.031515482229106904,122,0.8643028233791562,0.9545145941061066,0.8648065453891569,0.9541717496708286,0.8677082039748136,0.9011007833040126,0.04348790307710397
291,1.4537656784057618,0.3872750103727512,0.006728649139404297,0.00040379135346821127,0.0001,"(50, 50)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8074426814245529,0.8069278714445935,0.9361819485557742,0.8801334513013346,0.8473336304218655,0.8556009211432138,0.048710828203448846,172,0.8052664885388834,0.8245888959842865,0.9348152596646617,0.8872926623883036,0.8770818097774343,0.8658090232707139,0.046292505941853086
292,2.206282377243042,0.5360872840974635,0.006997299194335937,0.0012781591287291355,0.0001,"(50, 50)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9118939491441285,0.851725532736399,0.9410910294360992,0.942315490673155,0.8669786096256683,0.9028129695885735,0.037422685541872086,81,0.9186120095626493,0.865657224664627,0.9518674600192267,0.9588705766344235,0.9015328697123987,0.9193080281186651,0.03411791687723932
293,1.7207535266876222,0.4033016774133,0.00694117546081543,0.0008764997577412536,0.0001,"(50, 50)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.9144128408317859,0.8382577359392523,0.9420930702899484,0.9205559242055593,0.8520499108734401,0.8934948060430447,0.04074799702190857,108,0.9148306364418091,0.8535540642412701,0.9340896463802327,0.9390759472819032,0.8911358942870677,0.9065372377264567,0.03140414417464542
294,1.9094857215881347,0.4824384470529192,0.006938123703002929,0.0003735219076166341,0.0001,"(50, 50)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
295,1.888016653060913,0.4516392024371933,0.006773567199707032,0.00021145508164771074,0.0001,"(50, 50)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
296,1.9262388229370118,0.47618800683372825,0.006528663635253906,0.00032624574609016227,0.0001,"(50, 50)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
297,1.927328872680664,0.4705204379643637,0.006938266754150391,0.00037879838203828367,0.0001,"(50, 50)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
298,1.9296382427215577,0.4741392831393251,0.006920003890991211,0.00038468196359376077,0.0001,"(50, 50)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
299,1.9295195579528808,0.4776731481965848,0.007571268081665039,0.0010332288325881115,0.0001,"(50, 50)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
300,1.9188590049743652,0.4680521606636846,0.006994485855102539,0.0005597412446259392,0.0001,"(50, 50)",45,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
301,1.9260783195495605,0.4816863819602559,0.006521415710449219,0.00033488662325843624,0.0001,"(50, 50)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.9241023000974462,0.8949052198054754,0.9008163415396496,0.8390013271400134,0.8939765300059417,0.8905771141129063,0.027994672175227144,111,0.9279112711545954,0.9265568698691244,0.888732764523216,0.8416510288691598,0.8886280637846737,0.8946959996401539,0.03163706135603335
